date,return
2007-05-08,-0.001326
2007-05-09,0.002716
2007-05-10,-0.010508
2007-05-11,0.008521
2007-05-14,-0.002191
2007-05-15,0.000266
2007-05-16,0.006818
2007-05-17,-0.001982
2007-05-18,0.008687
2007-05-21,-0.000524
2007-05-22,-0.000787
2007-05-23,0.000131
2007-05-24,-0.009093
2007-05-25,0.004161
2007-05-29,0.003619
2007-05-30,0.008113
2007-05-31,-0.001043
2007-06-01,0.004944
2007-06-04,0.00013
2007-06-05,-0.003966
2007-06-06,-0.010808
2007-06-07,-0.018211
2007-06-08,0.012928
2007-06-11,0.00172
2007-06-12,-0.010965
2007-06-13,0.014857
2007-06-14,0.006366
2007-06-15,0.00567
2007-06-18,-0.001177
2007-06-19,0.002482
2007-06-20,-0.013994
2007-06-21,0.005543
2007-06-22,-0.009454
2007-06-25,-0.004795
2007-06-26,-0.010331
2007-06-27,0.014129
2007-06-28,-0.000134
2007-06-29,0.000332
2007-07-02,0.009
2007-07-03,0.003617
2007-07-05,-0.001051
2007-07-06,0.005243
2007-07-09,0.000785
2007-07-10,-0.014341
2007-07-11,0.007064
2007-07-12,0.015667
2007-07-13,0.002975
2007-07-16,-0.000129
2007-07-17,-0.000517
2007-07-18,-0.001811
2007-07-19,0.003877
2007-07-20,-0.010176
2007-07-23,0.003057
2007-07-24,-0.017493
2007-07-25,0.002047
2007-07-26,-0.023964
2007-07-27,-0.019855
2007-07-30,0.015522
2007-07-31,-0.011328
2007-08-01,0.004861
2007-08-02,0.007958
2007-08-03,-0.026083
2007-08-06,0.016621
2007-08-07,0.010613
2007-08-08,0.013844
2007-08-09,-0.030081
2007-08-10,-0.004688
2007-08-13,0.003587
2007-08-14,-0.015403
2007-08-15,-0.013872
2007-08-16,0.007488
2007-08-17,0.0182
2007-08-20,-0.000484
2007-08-21,0.002003
2007-08-22,0.011798
2007-08-23,-0.000887
2007-08-24,0.012277
2007-08-27,-0.009347
2007-08-28,-0.022226
2007-08-29,0.019432
2007-08-30,-0.002665
2007-08-31,0.009805
2007-09-04,0.010044
2007-09-05,-0.00869
2007-09-06,0.002298
2007-09-07,-0.014004
2007-09-10,-0.001919
2007-09-11,0.011593
2007-09-12,0.002574
2007-09-13,0.007009
2007-09-14,-6.8e-05
2007-09-17,-0.005387
2007-09-18,0.029014
2007-09-19,0.005886
